"BID" "SSID"
"3998346011_R12C01" "CA0000020975"
"3998370069_R02C02" "CA0000021020"
"3998370069_R04C01" "CA0000021023"
"3998352110_R09C02" "CA0000021157"
"3998370054_R03C02" "CA0000021168"
"3998352162_R04C01" "CA0000021204"
"3998352167_R06C01" "CA0000021208"
"3998370025_R03C02" "CA0000021215"
"3998352121_R09C02" "CA0000021232"
"3998346003_R05C02" "CA0000021272"
"3998352121_R02C01" "CA0000021328"
"3998352071_R09C02" "CA0000021331"
"3998352110_R05C02" "CA0000021354"
"3998352164_R01C01" "CA0000021393"
"3998352110_R12C01" "CA0000021395"
"3998370162_R01C01" "CA0000021404"
"3998352110_R11C02" "CA0000021412"
"3998370162_R03C01" "CA0000021457"
"3998370054_R01C01" "CA0000021463"
"3998352121_R07C01" "CA0000021564"
"3998370054_R10C02" "CA0000021738"
"3998370025_R04C01" "CA0000021762"
"3998352110_R07C02" "CA0000021805"
"3998359019_R12C02" "CA0000021838"
"3998370054_R10C01" "CA0000021886"
"3998352071_R11C02" "CA0000021921"
